benchmark,mode,stale_tracking,use_initial_bfs,threads,result,runtime_ms,checked_paths,stale_paths,duplicate_freshness_failures,total_pairwise_prefix_lca_divergence,avg_pairwise_prefix_lca_divergence,refinements,search_failed,lcps_checked_prefix_queries,lcps_stale_prefix_queries,lcps_checked_prefix_hits,lcps_stale_prefix_hits,lcps_search_invocations,lcps_full_cache_suffix_invocations,lcps_full_cache_suffix_fallbacks,lcps_effective_priority_decisions
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-jain_1.i_2-db2cf3f1,LCPS,true,true,4,SAFE,39093,5,0,2,6.416666666666667,0.6416666666666667,2,0,36,36,25,0,4,0,0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-jain_1.i_2-db2cf3f1,LCPS,true,true,8,SAFE,52808,9,0,2,16.460714285714285,0.4572420634920635,2,0,150,150,121,0,8,0,0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-jain_1.i_2-db2cf3f1,LCPS,true,true,16,SAFE,56244,17,0,2,41.47239288489287,0.3049440653300946,2,0,618,618,505,0,16,0,0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-jain_1.i_2-db2cf3f1,LCPS_FULL,true,true,4,SAFE,51175,5,0,2,6.416666666666667,0.6416666666666667,2,0,40,40,25,0,4,0,5,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-jain_1.i_2-db2cf3f1,LCPS_FULL,true,true,8,SAFE,41585,9,0,2,16.460714285714285,0.4572420634920635,2,0,158,158,121,0,8,0,23,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-jain_1.i_2-db2cf3f1,LCPS_FULL,true,true,16,SAFE,44232,17,0,2,41.47239288489287,0.3049440653300946,2,0,634,634,505,0,16,0,107,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-jain_2.i_2-b9aa1d3f,PAPER,true,true,4,SAFE,44125,5,0,2,6.416666666666667,0.6416666666666667,2,0,0,0,0,0,0,0,0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-jain_2.i_2-b9aa1d3f,PAPER,true,true,8,SAFE,41186,9,0,2,16.460714285714285,0.4572420634920635,2,0,0,0,0,0,0,0,0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-jain_2.i_2-b9aa1d3f,PAPER,true,true,16,SAFE,56437,17,0,2,41.47239288489287,0.3049440653300946,2,0,0,0,0,0,0,0,0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-jain_2.i_2-b9aa1d3f,LCPS,true,true,4,SAFE,51291,5,0,2,6.416666666666667,0.6416666666666667,2,0,36,36,25,0,4,0,0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-jain_2.i_2-b9aa1d3f,LCPS,true,true,8,SAFE,47394,9,0,2,16.460714285714285,0.4572420634920635,2,0,150,150,121,0,8,0,0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-jain_2.i_2-b9aa1d3f,LCPS,true,true,16,SAFE,56533,17,0,2,41.47239288489287,0.3049440653300946,2,0,618,618,505,0,16,0,0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-jain_2.i_2-b9aa1d3f,LCPS_FULL,true,true,4,SAFE,51270,5,0,2,6.416666666666667,0.6416666666666667,2,0,40,40,25,0,4,0,5,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-jain_2.i_2-b9aa1d3f,LCPS_FULL,true,true,8,SAFE,52997,9,0,2,16.460714285714285,0.4572420634920635,2,0,158,158,121,0,8,0,23,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-jain_2.i_2-b9aa1d3f,LCPS_FULL,true,true,16,SAFE,57023,17,0,2,41.47239288489287,0.3049440653300946,2,0,634,634,505,0,16,0,107,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-jain_4.i_2-d2b55c6a,PAPER,true,true,4,SAFE,27217,5,0,2,6.416666666666667,0.6416666666666667,2,0,0,0,0,0,0,0,0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-jain_4.i_2-d2b55c6a,PAPER,true,true,8,SAFE,41405,9,0,2,16.460714285714285,0.4572420634920635,2,0,0,0,0,0,0,0,0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-jain_4.i_2-d2b55c6a,PAPER,true,true,16,SAFE,32559,17,0,2,41.47239288489287,0.3049440653300946,2,0,0,0,0,0,0,0,0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-jain_4.i_2-d2b55c6a,LCPS,true,true,4,SAFE,27306,5,0,2,6.416666666666667,0.6416666666666667,2,0,36,36,25,0,4,0,0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-jain_4.i_2-d2b55c6a,LCPS,true,true,8,SAFE,28989,9,0,2,16.460714285714285,0.4572420634920635,2,0,150,150,121,0,8,0,0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-jain_4.i_2-d2b55c6a,LCPS,true,true,16,SAFE,32438,17,0,2,41.47239288489287,0.3049440653300946,2,0,618,618,504,0,16,0,0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-jain_4.i_2-d2b55c6a,LCPS_FULL,true,true,4,SAFE,27383,5,0,2,6.416666666666667,0.6416666666666667,2,0,40,40,25,0,4,0,5,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-jain_4.i_2-d2b55c6a,LCPS_FULL,true,true,8,SAFE,29025,9,0,2,16.460714285714285,0.4572420634920635,2,0,158,158,121,0,8,0,23,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-jain_4.i_2-d2b55c6a,LCPS_FULL,true,true,16,SAFE,32527,17,0,2,41.47239288489287,0.3049440653300946,2,0,634,634,505,0,16,0,107,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-jain_6.i_2-f35d9452,PAPER,true,true,4,SAFE,39682,5,0,2,6.416666666666667,0.6416666666666667,2,0,0,0,0,0,0,0,0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-jain_6.i_2-f35d9452,PAPER,true,true,8,SAFE,28982,9,0,2,16.460714285714285,0.4572420634920635,2,0,0,0,0,0,0,0,0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-jain_6.i_2-f35d9452,PAPER,true,true,16,SAFE,32346,17,0,2,41.47239288489287,0.3049440653300946,2,0,0,0,0,0,0,0,0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-jain_6.i_2-f35d9452,LCPS,true,true,4,SAFE,27298,5,0,2,6.416666666666667,0.6416666666666667,2,0,36,36,25,0,4,0,0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-jain_6.i_2-f35d9452,LCPS,true,true,8,SAFE,29069,9,0,2,16.460714285714285,0.4572420634920635,2,0,150,150,121,0,8,0,0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-jain_6.i_2-f35d9452,LCPS,true,true,16,SAFE,32431,17,0,2,41.47239288489287,0.3049440653300946,2,0,618,618,505,0,16,0,0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-jain_6.i_2-f35d9452,LCPS_FULL,true,true,4,SAFE,27340,5,0,2,6.416666666666667,0.6416666666666667,2,0,40,40,25,0,4,0,5,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-jain_6.i_2-f35d9452,LCPS_FULL,true,true,8,SAFE,29045,9,0,2,16.460714285714285,0.4572420634920635,2,0,158,158,121,0,8,0,23,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-jain_6.i_2-f35d9452,LCPS_FULL,true,true,16,TIMEOUT,1205094,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
